paperid,referenceids,date,title
98390249,[],1998-01-01,Atıf Verisi (Citation Data) ve Enformetrik Yasalar: Türk Kütüphanecilik Literatüründeki Doktora Tezleri Üzerinde Bir Uygulama
263119081,[],1998-01-01,Visualization of Intellectual Structure in Information Retrieval: Author Cocitation Analysis.
469254383,[],2005-01-01,"Review of: Egghe, Leo. Power laws in the information production process: Lotkaian informetrics. Kidlington, Oxfordshire: Elsevier Academic Press, 2005."
398831857,"[278656326, 21030512]",2009-09-01,A Bibliometrics Study on Research Competitiveness of Engineering Universities in China
270799091,"[431442395, 39926737, 20873025, 377152343, 200726999, 333245448, 135208616, 203132013, 220227500, 316816261, 208687520, 65769675, 182718381, 460275406, 230167948, 245415128, 400092844, 424829103, 414341935, 71988249, 340472657, 418438741, 389953356, 37039894, 267089033, 299106436, 15188446, 341511575, 414248012, 469688436, 445013010, 79989640, 191353420, 175467342, 160179033, 150331106, 359909736, 244401054, 167793514, 124399946, 167182719, 485141987, 372832531, 355440874]",2018-04-01,Evaluating the nursing academicians in Turkey in the scope of Web of Science: scientometrics of original articles
260428022,[],2018-04-19,Brapci 2.0
292372730,"[351142367, 443662675, 111507508, 176326224, 162611054, 60489969, 298964827, 341875607, 443184772, 250122712, 387763430, 288650137, 309372739, 255530246, 284445364]",2011-01-01,The Topic Analysis of Hospice Care Research Using Co-word Analysis and GHSOM
469373185,"[87953545, 183889591, 448801014, 215678214, 131996932, 268849298, 213646120, 343396551, 238982858, 265240984, 334838170, 388858369, 281388415, 113345810, 198497808, 9081498, 72739221, 494942539, 401349087, 445636083, 33553023, 102933994]",2016-11-16,Flexible Schema for Prediction of Collaborator’s Credits
174424322,"[2506193, 488985797, 387623116, 267512648, 452176684, 150065829, 70803619, 9398381, 160691913, 200573778, 311435570, 241131554, 363038835, 29887175, 465770859, 145180030, 195856793, 299833466, 430899767, 297932555, 39905952, 227373965, 246933856, 283280037, 368090524, 178951552, 486892439, 104884483, 181992119, 197740090, 208504772, 163099740, 337568087, 481704732, 411441564, 323269093, 103072687]",2018-09-01,"Forty-Five Years of LIS Research Evolution, 1971–2015: An Informetrics Study of the Author-Supplied Keywords"
161788162,"[477535929, 441607506, 450319632, 180414442, 272486340, 242269931, 170045888, 490902414, 349048043, 296568933, 384094250, 143729563, 212494546, 327022963, 346722685, 307964343, 101940518, 125268362, 52928312, 231293531, 273366809, 369796911, 42177598, 40736468, 220873012, 194444863, 131931059, 174135252, 27948740, 333352759, 445273619, 264030756, 377434869, 189565975, 325504013, 152660823, 58278862, 251541217, 300322961, 235593759, 482169789, 55490228, 5689063, 95789007, 31933287]",2006-01-01,Environment and Planning B as a Journal:The interdisciplinarity of its environment and the citation impact
404369671,"[122105710, 211755882, 64051842, 147476589, 44511812, 303208883, 450319632, 458004118, 384094250, 52726731, 396168036, 487770777, 466856001, 174135252, 325267019, 275815363, 450604420, 234794687, 240908848, 6276204, 459117259, 388051883, 41865087, 294906147, 261352265, 171094394, 71443537, 88588018, 494921216, 98600116, 145808265]",2009-03-20,Visual Conceptualizations and Models of Science
462987538,"[42213373, 318484766, 203229689, 489329361, 206127275, 64211413, 178798104, 356585330, 166700670, 316730381, 206436060, 261377765, 482660989, 58920440, 478158111, 12176978, 155337893, 460324503, 329739110, 371701096, 438168861, 5543562, 94016388, 402265211, 136454155, 216073117, 13169291, 36645397, 115644777, 16930351, 121468285, 333352759, 361398178, 491292262, 87583585, 96480432, 366634668, 145073746, 64384968, 338967959, 227009738, 79126287, 178800446, 357459434, 79982996, 114131769, 497591803, 163622822, 368888397, 395960159]",2014-10-01,Distributions of citations of papers of individual authors publishing in different scientific disciplines: Application of Langmuir-type function
2654487,[],2003-01-01,Wie lange wird Literatur nachgefragt? Eine Untersuchung zu Alterung und Nutzung von Literatur
10060057,"[122105710, 211755882, 448764503, 64051842, 147476589, 216531304, 113749997, 141614069, 44511812, 50786184, 243381326, 277401574, 303208883, 76820903, 450319632, 243819966, 458004118, 309997617, 384094250, 258359416, 52726731, 483761394, 404703361, 396168036, 371261447, 108789127, 295449116, 487770777, 216542339, 171930723, 219814103, 60722387, 19006067, 131052962, 302273952, 139938595, 466856001, 457559024, 20023808, 345299187, 40736468, 174135252, 325267019, 491017874, 275815363, 445273619, 450604420, 234794687, 233701000, 184452926, 240908848, 187159254, 6276204, 225315195, 459117259, 388051883, 321809796, 41865087, 305674665, 294906147, 342753687, 261352265, 171094394, 71443537, 88588018, 367442227, 404659890, 494921216, 98600116, 423699360, 111602778, 185730162, 53350313, 91939913]",2009-07-01,Visual conceptualizations and models of science
62357786,[],2007-07-19,"Kvantitativna istraživanja procesa stvaranja, prijenosa i korištenja informacija – nužnost jedinstvenog pristupa"
486531354,"[431607325, 124524031, 154636195, 401449071, 154561707, 134053832, 428075243, 373918374, 334460826, 226349204, 450394429, 296638212, 445670365, 484716880, 260990451, 364232413, 304503462, 326631934, 198772941]",2012-01-01,"Annals of Library and Information Studies, 2002–2010: A Bibliometric Study"
